Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,17575.150391,17599.400391,16836.800781,17101.949219,17101.949219,1401200
2022-01-31,17301.050781,17794.599609,17244.550781,17516.300781,17516.300781,1467300
2022-02-07,17456.300781,17639.449219,17043.650391,17374.750000,17374.750000,1296600
2022-02-14,17076.150391,17490.599609,16809.650391,17276.300781,17276.300781,1270400
2022-02-21,17192.250000,17351.050781,16203.250000,16658.400391,16658.400391,1503300
2022-02-28,16481.599609,16815.900391,16133.799805,16245.349609,16245.349609,1820100
2022-03-07,15867.950195,16757.300781,15671.450195,16630.449219,16630.449219,2421300
2022-03-14,16633.699219,17344.599609,16555.000000,17287.050781,17287.050781,1404600
2022-03-21,17329.500000,17442.400391,17006.300781,17153.000000,17153.000000,1443300
2022-03-28,17181.849609,17703.699219,17003.900391,17670.449219,17670.449219,1566200
2022-04-04,17809.099609,18114.650391,17600.550781,17784.349609,17784.349609,1541000
2022-04-11,17740.900391,17779.050781,17442.349609,17475.650391,17475.650391,762800
2022-04-18,17183.449219,17414.699219,16824.699219,17171.949219,17171.949219,1611500
2022-04-25,17009.050781,17377.650391,16888.699219,17102.550781,17102.550781,1451000
2022-05-02,16924.449219,17132.849609,16340.900391,16411.250000,16411.250000,1155100
2022-05-09,16227.700195,16404.550781,15735.750000,15782.150391,15782.150391,1539800
2022-05-16,15845.099609,16399.800781,15739.650391,16266.150391,16266.150391,1370000
2022-05-23,16290.950195,16414.699219,15903.700195,16352.450195,16352.450195,1375300
2022-05-30,16527.900391,16793.849609,16438.849609,16584.300781,16584.300781,1634100
2022-06-06,16530.699219,16610.949219,16172.599609,16201.799805,16201.799805,1105600
2022-06-13,15877.549805,15886.150391,15183.400391,15293.500000,15293.500000,1241200
2022-06-20,15334.500000,15749.250000,15191.099609,15699.250000,15699.250000,1222500
2022-06-27,15926.200195,15927.450195,15511.049805,15752.049805,15752.049805,1577800
2022-07-04,15710.500000,16275.500000,15661.799805,16220.599609,16220.599609,1392600
2022-07-11,16136.150391,16248.549805,15858.200195,16049.200195,16049.200195,1132200
2022-07-18,16151.400391,16752.250000,16142.200195,16719.449219,16719.449219,1169200
2022-07-25,16662.550781,17172.800781,16438.750000,17158.250000,17158.250000,1417200
2022-08-01,17243.199219,17490.699219,17154.800781,17397.500000,17397.500000,1680800
2022-08-08,17401.500000,17724.650391,17359.750000,17698.150391,17698.150391,1184800
2022-08-15,17797.199219,17992.199219,17710.750000,17758.449219,17758.449219,822300
2022-08-22,17682.900391,17726.500000,17345.199219,17558.900391,17558.900391,1332000
2022-08-29,17188.650391,17777.650391,17166.199219,17539.449219,17539.449219,1134400
2022-09-05,17546.449219,17925.949219,17484.300781,17833.349609,17833.349609,1385700
2022-09-12,17890.849609,18096.150391,17497.250000,17530.849609,17530.849609,1612100
2022-09-19,17540.650391,17919.300781,17291.650391,17327.349609,17327.349609,1441800
2022-09-26,17156.300781,17196.400391,16747.699219,17094.349609,17094.349609,1891900
2022-10-03,17102.099609,17428.800781,16855.550781,17314.650391,17314.650391,986200
2022-10-10,17094.349609,17348.550781,16950.300781,17185.699219,17185.699219,1266000
2022-10-17,17144.800781,17670.150391,17098.550781,17576.300781,17576.300781,1189500
2022-10-24,17736.349609,17838.900391,17637.000000,17786.800781,17786.800781,871000
2022-10-31,17910.199219,18178.750000,17899.900391,18117.150391,18117.150391,1328900
2022-11-07,18211.750000,18362.300781,17969.400391,18349.699219,18349.699219,1257000
2022-11-14,18376.400391,18442.150391,18209.800781,18307.650391,18307.650391,1170900
2022-11-21,18246.400391,18534.900391,18133.349609,18512.750000,18512.750000,980200
2022-11-28,18430.550781,18887.599609,18365.599609,18696.099609,18696.099609,1326800
2022-12-05,18719.550781,18728.599609,18410.099609,18496.599609,18496.599609,1125300
2022-12-12,18402.150391,18696.099609,18255.150391,18269.000000,18269.000000,1050300
2022-12-19,18288.099609,18473.349609,17779.500000,17806.800781,17806.800781,928600
2022-12-26,17830.400391,18265.250000,17774.250000,18105.300781,18105.300781,1058000
2023-01-02,18131.699219,18251.949219,17795.550781,17859.449219,17859.449219,1208100
2023-01-09,17952.550781,18141.400391,17761.650391,17956.599609,17956.599609,1284900
2023-01-16,18033.150391,18183.750000,17853.650391,18027.650391,18027.650391,1156100
2023-01-23,18118.449219,18201.250000,17493.550781,17604.349609,17604.349609,1152900
2023-01-30,17541.949219,17972.199219,17353.400391,17854.050781,17854.050781,2257800
2023-02-06,17818.550781,17916.900391,17652.550781,17856.500000,17856.500000,1420800
2023-02-13,17859.099609,18134.750000,17719.750000,17944.199219,17944.199219,1143400
2023-02-20,17965.550781,18004.349609,17421.800781,17465.800781,17465.800781,1027000
2023-02-27,17428.599609,17644.750000,17255.199219,17594.349609,17594.349609,1607100
2023-03-06,17680.349609,17799.949219,17324.349609,17412.900391,17412.900391,1128100
2023-03-13,17421.900391,17529.900391,16850.150391,17100.050781,17100.050781,1551600
2023-03-20,17066.599609,17207.250000,16828.349609,16945.050781,16945.050781,935700
2023-03-27,16984.300781,17381.599609,16913.750000,17359.750000,17359.750000,1067000
2023-04-03,17427.949219,17638.699219,17312.750000,17599.150391,17599.150391,721200
2023-04-10,17634.900391,17842.150391,17597.949219,17828.000000,17828.000000,1077700
2023-04-17,17863.000000,17863.000000,17553.949219,17624.050781,17624.050781,1343100
2023-04-24,17707.550781,17931.599609,17612.500000,17915.050781,17915.050781,1027500
